location	hits	keyword	geo	gprop	GTREND_QUERY	GEOUNIT_TYPE	GEOUNIT_CODE	QUERY_UID	QUERY_BASETERM
Aalsmeer		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Hoofddorp		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Haarlem	29	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Hilversum		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Almere	24	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Alkmaar		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Utrecht	18	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Lelystad		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
The Hague	15	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Leiden		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Amersfoort		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Delft		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Arnhem		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Rotterdam	10	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Apeldoorn		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Eindhoven		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
's-Hertogenbosch		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Breda		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Zwolle		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Nijmegen		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Groningen		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Tilburg		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Antwerp		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Brussels		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Liverpool		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
London	1	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Düsseldorf		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Dortmund		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Edinburgh		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Frankfurt		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Cologne	1	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Dublin	1	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Glasgow		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Zürich		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Manchester		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Hamburg		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Berlin	1	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Munich		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Naples		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Stuttgart		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Paris	1	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Rome	1	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Milan	1	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Vienna	1	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Copenhagen		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Barcelona		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
New York	1	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Stockholm		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Tel Aviv-Yafo		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Madrid	1	Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Dubai		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Prague		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Toronto		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Singapore		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Melbourne		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Sydney		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Istanbul		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Warsaw		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Los Angeles		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Buenos Aires		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Mumbai		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Mexico City		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Bengaluru		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
New Delhi		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Jakarta		Amsterdam	world	web	Amsterdam;Wijk 06 Almere Pampus	quarter	WK003406	05e84562-e7a6-4f03-8d08-575e73a0aced	TRUE
Blaricum	100	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Schiphol	79	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Amsterdam	65	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Amsterdam	64	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Amstelveen	45	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Zaandam	40	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Amsterdam-Zuidoost	39	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Purmerend		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Aalsmeer		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Hoofddorp		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Haarlem	29	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Hilversum		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Almere	24	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Alkmaar		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Utrecht	18	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Lelystad		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
The Hague	15	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Leiden		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Amersfoort		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Delft		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Arnhem		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Rotterdam	10	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Apeldoorn		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Eindhoven		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
's-Hertogenbosch		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Breda		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Zwolle		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Nijmegen		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Groningen		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Tilburg		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Antwerp		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Brussels		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Liverpool		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
London	1	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Düsseldorf		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Dortmund		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Edinburgh		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Frankfurt		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Cologne	1	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Dublin	1	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Glasgow		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Zürich		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Manchester		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Hamburg		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Berlin	1	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Munich		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Naples		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Stuttgart		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Paris	1	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Rome	1	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Milan	1	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Vienna	1	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Copenhagen		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Barcelona		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
New York	1	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Stockholm		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Tel Aviv-Yafo		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Madrid	1	Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Dubai		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Prague		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Toronto		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Singapore		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Melbourne		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Sydney		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Istanbul		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Warsaw		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Los Angeles		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Buenos Aires		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Mumbai		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Mexico City		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Bengaluru		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
New Delhi		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Jakarta		Amsterdam	world	web	Amsterdam;Wijk 00 Aalsmeer	quarter	WK035800	2923e9e4-7778-418e-9b87-f5730dd53b75	TRUE
Blaricum	100	Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Schiphol	79	Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Amsterdam	65	Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Amsterdam	64	Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Amstelveen	45	Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Zaandam	40	Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Amsterdam-Zuidoost	39	Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Purmerend		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Aalsmeer		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Hoofddorp		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Haarlem	29	Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Hilversum		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Almere	24	Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Alkmaar		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Utrecht	18	Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Lelystad		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
The Hague	15	Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Leiden		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Amersfoort		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Delft		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Arnhem		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Rotterdam	10	Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Apeldoorn		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Eindhoven		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
's-Hertogenbosch		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Breda		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Zwolle		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Nijmegen		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Groningen		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Tilburg		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Antwerp		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Brussels		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
Liverpool		Amsterdam	world	web	Amsterdam;Wijk 01 Kudelstraat en Kalslagen	quarter	WK035801	c48f8b06-fa43-479b-8663-ec5dbb79b975	TRUE
